function_id,software_unit_id,source_path,line,qualified_name,visibility,signature,return_contract,responsibility,preconditions,postconditions,explicit_exceptions,side_effects,concurrency,call_dependencies,branch_points,line_span,risk,architecture_id,requirement_ids,test_references,verification_disposition,design_status
FUN-188C32A8D7,UNIT-13CCE7FD07,app.py,29,_ensure_streamlit_runtime,internal,(),None,Block `python app.py` — Streamlit must host this file.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,SystemExit,none-detected,caller-thread,SystemExit;get_script_run_ctx;print,2,17,low,ARC-APP,SWR-CORE-002;SWR-UI-001;SWR-CFG-001,,static-and-component,baselined-as-built
FUN-DCCDACE066,UNIT-B2A1584DAD,run_app.py,27,load_dotenv,public,(path: Path),None,As-built responsibility derived from `load_dotenv` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,key.strip;len;line.split;line.startswith;path.is_file;path.read_text;print;raw.strip;splitlines;val.strip,4,15,medium,ARC-APP,SWR-CORE-002;SWR-UI-001;SWR-CFG-001,,static-and-component,baselined-as-built
FUN-79CFC89B7C,UNIT-B2A1584DAD,run_app.py,44,init_dev_env,public,(),None,As-built responsibility derived from `init_dev_env` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,shared-state,caller-thread,os.environ.setdefault,0,5,medium,ARC-APP,SWR-CORE-002;SWR-UI-001;SWR-CFG-001,,static-and-component,baselined-as-built
FUN-ACD09C876B,UNIT-B2A1584DAD,run_app.py,51,ensure_streamlit_config,public,(),None,As-built responsibility derived from `ensure_streamlit_config` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,filesystem,caller-thread,cfg_dir.mkdir;config_path.is_file;config_path.write_text;cred_path.is_file;cred_path.write_text,2,15,medium,ARC-APP,SWR-CORE-002;SWR-UI-001;SWR-CFG-001,,static-and-component,baselined-as-built
FUN-8991377FD4,UNIT-B2A1584DAD,run_app.py,68,_python_is_usable,internal,(candidate: Path),bool,As-built responsibility derived from `_python_is_usable` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,str;subprocess.run,1,12,low,ARC-APP,SWR-CORE-002;SWR-UI-001;SWR-CFG-001,,static-and-component,baselined-as-built
FUN-50C4F81DD9,UNIT-B2A1584DAD,run_app.py,82,resolve_python,public,(),Path | str,As-built responsibility derived from `resolve_python` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,_python_is_usable;candidate.is_file,3,6,medium,ARC-APP,SWR-CORE-002;SWR-UI-001;SWR-CFG-001,,static-and-component,baselined-as-built
FUN-40C14BB01B,UNIT-B2A1584DAD,run_app.py,90,_pids_listening_on_port,internal,(port: int),list[int],As-built responsibility derived from `_pids_listening_on_port` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,int;line.split;line.upper;os.getpid;out.split;out.splitlines;pids.append;subprocess.check_output;token.isdigit,13,42,medium,ARC-APP,SWR-CORE-002;SWR-UI-001;SWR-CFG-001,,static-and-component,baselined-as-built
FUN-EFEA1102A6,UNIT-B2A1584DAD,run_app.py,134,_command_line_for_pid,internal,(pid: int),str,As-built responsibility derived from `_command_line_for_pid` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,str;strip;subprocess.check_output,3,25,low,ARC-APP,SWR-CORE-002;SWR-UI-001;SWR-CFG-001,,static-and-component,baselined-as-built
FUN-5F95C44360,UNIT-B2A1584DAD,run_app.py,161,_is_project_streamlit_pid,internal,"(pid: int, root: Path)",bool,As-built responsibility derived from `_is_project_streamlit_pid` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,none-detected,caller-thread,_command_line_for_pid;lower;str,1,6,low,ARC-APP,SWR-CORE-002;SWR-UI-001;SWR-CFG-001,,static-and-component,baselined-as-built
FUN-E5E889737F,UNIT-B2A1584DAD,run_app.py,169,_streamlit_pids,internal,(root: Path),list[int],As-built responsibility derived from `_streamlit_pids` and its owning unit.,"caller satisfies signature, owning-unit state, and linked requirement constraints",normal return follows return contract; detected side effects are limited to recorded categories,none-explicit,filesystem,caller-thread,chr;int;line.isdigit;line.strip;lower;os.getpid;out.splitlines;pids.append;root_marker.replace;str;subprocess.check_output,9,46,medium,ARC-APP,SWR-CORE-002;SWR-UI-001;SWR-CFG-001,,static-and-component,baselined-as-built
