software_unit_id,file,line,end_line,qualified_function,visibility,function_summary,detailed_design_evidence,interface_evidence,requirements_architecture_trace,document_references,unit_verification_trace,test_references,aspice_document_verdict,linked_findings
SWU-188C32A8D7,app.py,29,45,_ensure_streamlit_runtime,internal,Block `python app.py` — Streamlit must host this file.,有函数说明,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE4-UV
SWU-DCCDACE066,run_app.py,27,41,load_dotenv,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-79CFC89B7C,run_app.py,44,48,init_dev_env,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-ACD09C876B,run_app.py,51,65,ensure_streamlit_config,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-8991377FD4,run_app.py,68,79,_python_is_usable,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-50C4F81DD9,run_app.py,82,87,resolve_python,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-40C14BB01B,run_app.py,90,131,_pids_listening_on_port,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-EFEA1102A6,run_app.py,134,158,_command_line_for_pid,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-5F95C44360,run_app.py,161,166,_is_project_streamlit_pid,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-E5E889737F,run_app.py,169,214,_streamlit_pids,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-2F41B39115,run_app.py,217,232,_terminate_pid,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-93AFB64487,run_app.py,235,250,stop_stale_streamlit,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-5749848613,run_app.py,253,261,parse_args,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-8C169563E6,run_app.py,264,312,main,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,存在符号级文档引用,docs/architecture/backtesting.md;docs/aspice/supporting/reviews/software-domain-document-audit-2026-07-17.md,存在同名测试引用,tests/unit/test_chart_projections.py,P-证据不足,ASPICE-SWE3-DD
SWU-8EFE0F5793,scripts/check_mt5_connection.py,19,45,main,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,存在符号级文档引用,docs/architecture/backtesting.md;docs/aspice/supporting/reviews/software-domain-document-audit-2026-07-17.md,存在同名测试引用,tests/unit/test_chart_projections.py,P-证据不足,ASPICE-SWE3-DD
SWU-406938AB22,scripts/compare_pa_5m_tv.py,26,54,main,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,存在符号级文档引用,docs/architecture/backtesting.md;docs/aspice/supporting/reviews/software-domain-document-audit-2026-07-17.md,存在同名测试引用,tests/unit/test_chart_projections.py,P-证据不足,ASPICE-SWE3-DD
SWU-818471EA1D,scripts/compare_pa_tv.py,26,29,_delta,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-D24395608C,scripts/compare_pa_tv.py,32,112,main,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,存在符号级文档引用,docs/architecture/backtesting.md;docs/aspice/supporting/reviews/software-domain-document-audit-2026-07-17.md,存在同名测试引用,tests/unit/test_chart_projections.py,P-证据不足,ASPICE-SWE3-DD
SWU-85A3E4B3A3,scripts/estimate_llm_tokens.py,39,40,_sys,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-487EF18D78,scripts/estimate_llm_tokens.py,43,44,_est,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-7143A40322,scripts/estimate_llm_tokens.py,47,103,main,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,存在符号级文档引用,docs/architecture/backtesting.md;docs/aspice/supporting/reviews/software-domain-document-audit-2026-07-17.md,存在同名测试引用,tests/unit/test_chart_projections.py,P-证据不足,ASPICE-SWE3-DD
SWU-A27C77A1D3,scripts/export_sample_report.py,43,52,_sanitize,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,部分注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV;ASPICE-SWE3-IF
SWU-B0FFDEB50D,scripts/export_sample_report.py,55,115,_sample_context,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,存在同名测试引用,tests/unit/test_analyst_team.py;tests/unit/test_analyst_team_llm.py;tests/unit/test_debate_parallel.py;tests/unit/test_llm_payload_funnel.py,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD
SWU-8B24CEF8E4,scripts/export_sample_report.py,118,177,main,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,存在符号级文档引用,docs/architecture/backtesting.md;docs/aspice/supporting/reviews/software-domain-document-audit-2026-07-17.md,存在同名测试引用,tests/unit/test_chart_projections.py,P-证据不足,ASPICE-SWE3-DD
SWU-000D721083,scripts/inspect_archive.py,16,25,_cmd_list,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-747A7A71CA,scripts/inspect_archive.py,28,41,_cmd_inspect,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-63AE1E91D4,scripts/inspect_archive.py,44,64,_cmd_validate,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-E505B92782,scripts/inspect_archive.py,67,74,_cmd_export,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-CA79779A11,scripts/inspect_archive.py,77,83,_cmd_import,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-80A2A844CA,scripts/inspect_archive.py,86,114,main,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,存在符号级文档引用,docs/architecture/backtesting.md;docs/aspice/supporting/reviews/software-domain-document-audit-2026-07-17.md,存在同名测试引用,tests/unit/test_chart_projections.py,P-证据不足,ASPICE-SWE3-DD
SWU-2A9AD18E99,scripts/replay_llm_narrative.py,18,19,_load_json,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-0B702BF5F4,scripts/replay_llm_narrative.py,22,34,_load_llm_payload,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-89B0C24609,scripts/replay_llm_narrative.py,37,63,_print_audit,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,部分注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV;ASPICE-SWE3-IF
SWU-06A7E09133,scripts/replay_llm_narrative.py,66,97,main,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,存在符号级文档引用,docs/architecture/backtesting.md;docs/aspice/supporting/reviews/software-domain-document-audit-2026-07-17.md,存在同名测试引用,tests/unit/test_chart_projections.py,P-证据不足,ASPICE-SWE3-DD
SWU-FDEC2F3B6B,scripts/show_utf8.py,16,21,parse_args,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-9302F1289E,scripts/show_utf8.py,24,34,main,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,存在符号级文档引用,docs/architecture/backtesting.md;docs/aspice/supporting/reviews/software-domain-document-audit-2026-07-17.md,存在同名测试引用,tests/unit/test_chart_projections.py,P-证据不足,ASPICE-SWE3-DD
SWU-2E85C86A01,scripts/test_live_fetch.py,20,27,_block,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-9C22B2B4E5,scripts/test_live_fetch.py,30,101,main,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,存在符号级文档引用,docs/architecture/backtesting.md;docs/aspice/supporting/reviews/software-domain-document-audit-2026-07-17.md,存在同名测试引用,tests/unit/test_chart_projections.py,P-证据不足,ASPICE-SWE3-DD
SWU-00321F2B4A,src/agents/analysts/__init__.py,20,26,run_analyst_team,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,存在符号级文档引用,docs/architecture/analyst-context.md,存在同名测试引用,tests/unit/test_analyst_team.py;tests/unit/test_analyst_team_llm.py;tests/unit/test_debate_parallel.py;tests/unit/test_llm_payload_funnel.py,P-证据不足,ASPICE-SWE3-DD
SWU-C3439BFBE3,src/agents/analysts/base.py,11,14,confidence_from_items,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-CC65B2503A,src/agents/analysts/base.py,17,36,build_report,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,存在符号级文档引用,docs/architecture/architecture.md;docs/architecture/llm-agents.md;docs/architecture/report-trust.md;docs/architecture/smc-pa-narrative.md,存在同名测试引用,tests/unit/test_evidence_provenance.py;tests/unit/test_financial_review.py;tests/unit/test_signal_dedup.py,P-证据不足,ASPICE-SWE3-DD
SWU-7EF67BFE39,src/agents/analysts/base.py,39,59,items_for_direction,public,Pull evidence from specialist reports aligned with a researcher direction.,有函数说明,完整注解,存在符号级文档引用,docs/architecture/analyst-context.md;docs/architecture/architecture.md;docs/architecture/report-trust.md,存在同名测试引用,tests/unit/test_analyst_team.py;tests/unit/test_evidence_provenance.py,P-部分满足,
SWU-736ECAC34C,src/agents/analysts/evidence_ids.py,8,23,assign_evidence_ids,public,Ensure every item has a stable ``{agent}:{index}`` id.,有函数说明,完整注解,存在符号级文档引用,docs/architecture/report-trust.md,无同名测试追溯证据,,P-证据不足,ASPICE-SWE4-UV
SWU-89A55043E0,src/agents/analysts/evidence_provenance.py,10,17,analyst_evidence_ids,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-C2CE034D09,src/agents/analysts/evidence_provenance.py,20,27,evidence_registry,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,存在符号级文档引用,docs/architecture/report-trust.md,存在同名测试引用,tests/unit/test_evidence_provenance.py,P-证据不足,ASPICE-SWE3-DD
SWU-BC6AB45103,src/agents/analysts/evidence_provenance.py,30,32,is_new_structure_id,public,Deprecated: Research must not mint structure IDs; kept for tests/docs.,有函数说明,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE4-UV
SWU-5138CC692A,src/agents/analysts/evidence_provenance.py,35,39,_allowed_id,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-AEA352184D,src/agents/analysts/evidence_provenance.py,42,54,dedupe_evidence_items,public,Keep strongest item per evidence_id.,有函数说明,完整注解,无需求/架构追溯记录,,存在同名测试引用,tests/unit/test_evidence_provenance.py,P-证据不足,ASPICE-SWE-TRACE
SWU-DFEE2688C2,src/agents/analysts/evidence_provenance.py,57,74,_restore_refs,internal,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-43D1351553,src/agents/analysts/evidence_provenance.py,77,122,parse_research_items,public,"Parse LLM research items with ID whitelist, ref restore and dedupe.",有函数说明,部分注解,无需求/架构追溯记录,,无同名测试追溯证据,,P-证据不足,ASPICE-SWE-TRACE;ASPICE-SWE4-UV;ASPICE-SWE3-IF
SWU-87A0B32A1C,src/agents/analysts/evidence_provenance.py,125,156,build_research_provenance_meta,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-94884173FC,src/agents/analysts/evidence_provenance.py,159,161,blend_research_confidence,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
SWU-D72E36CE1E,src/agents/analysts/evidence_provenance.py,164,187,build_debate_provenance_meta,public,未在函数级文档中说明；需从实现推断,缺函数级详细设计,完整注解,无需求/架构追溯记录,,无同名测试追溯证据,,N-未满足,ASPICE-SWE-TRACE;ASPICE-SWE3-DD;ASPICE-SWE4-UV
