requirement_id,requirement_title,architecture_ids,software_unit_ids,verification_ids,status,consistency
SWR-CORE-001,Advice V2 analysis pipeline,ARC-CORE;ARC-DATA;ARC-ADVICE;ARC-RUN,UNIT-023A37A1E9;UNIT-038535558B;UNIT-05079ECC27;UNIT-0DC607AB64;UNIT-0DF4638D5E;UNIT-0F842B8ECE;UNIT-1FA1BDF5BA;UNIT-21570B9DEB;UNIT-24843AC961;UNIT-2B33A302FC;UNIT-2F300FEED2;UNIT-3365BE69B6;UNIT-338F795D63;UNIT-3D26D1EC62;UNIT-4BD152D87B;UNIT-4D4D8A02C7;UNIT-52888D723D;UNIT-56F8FF3B61;UNIT-58D6F95301;UNIT-5C3B60E30A;UNIT-5C9ECC73E4;UNIT-603339624C;UNIT-62A1AFF305;UNIT-6C61C7BBF5;UNIT-7020937074;UNIT-767BF49F25;UNIT-7BFC490988;UNIT-7DF4993AB3;UNIT-8A8BC190AA;UNIT-927BB1749D;UNIT-928784DA94;UNIT-969BF3943A;UNIT-A91501B8CA;UNIT-AA59BF5421;UNIT-ACC548ABA0;UNIT-AF0B99F0B7;UNIT-B05F7AFFA4;UNIT-B141E8A708;UNIT-BA3F06E87A;UNIT-BA683051BA;UNIT-BA8DF8A829;UNIT-C1711535CA;UNIT-C335B8F5CF;UNIT-C3952C43CB;UNIT-C590FCE576;UNIT-D0BEC20560;UNIT-D3B9BEAAC0;UNIT-D3D34BC712;UNIT-D41345D767;UNIT-D5EB6E2A98;UNIT-D85010DCA2;UNIT-DAD8BC5B0F;UNIT-E124606847;UNIT-EA2375EFD1;UNIT-EA7E4F88FE;UNIT-EC9B21793D;UNIT-F43788FE2B;UNIT-F5D8BD410B;UNIT-F6D48540E6;UNIT-FE5C27C113,VM-UNIT;VM-REGRESSION;VM-INTEGRATION-PIPELINE,agreed,bidirectional-validated
SWR-CORE-002,Controlled run modes,ARC-APP;ARC-CORE;ARC-RUN,UNIT-02D5D8E12E;UNIT-038535558B;UNIT-0DC607AB64;UNIT-13CCE7FD07;UNIT-1FE6319D7A;UNIT-21570B9DEB;UNIT-2F300FEED2;UNIT-3365BE69B6;UNIT-338F795D63;UNIT-3D26D1EC62;UNIT-4BD152D87B;UNIT-6C61C7BBF5;UNIT-7DF4993AB3;UNIT-8A8BC190AA;UNIT-969BF3943A;UNIT-A91501B8CA;UNIT-AA59BF5421;UNIT-AF0B99F0B7;UNIT-B141E8A708;UNIT-B2A1584DAD;UNIT-BA3F06E87A;UNIT-D0BEC20560;UNIT-D2F443BBB9;UNIT-D3D34BC712;UNIT-D5EB6E2A98;UNIT-D85010DCA2;UNIT-E124606847;UNIT-EA2375EFD1;UNIT-F43788FE2B,VM-UNIT;VM-REGRESSION,agreed,bidirectional-validated
SWR-DATA-001,Multi-timeframe XAUUSD market data,ARC-DATA,UNIT-023A37A1E9;UNIT-05079ECC27;UNIT-0DF4638D5E;UNIT-0F842B8ECE;UNIT-1FA1BDF5BA;UNIT-24843AC961;UNIT-2B33A302FC;UNIT-4D4D8A02C7;UNIT-52888D723D;UNIT-58D6F95301;UNIT-5C3B60E30A;UNIT-5C9ECC73E4;UNIT-603339624C;UNIT-62A1AFF305;UNIT-7020937074;UNIT-767BF49F25;UNIT-7BFC490988;UNIT-927BB1749D;UNIT-B05F7AFFA4;UNIT-BA8DF8A829;UNIT-C1711535CA;UNIT-C335B8F5CF;UNIT-C3952C43CB;UNIT-C590FCE576;UNIT-D3B9BEAAC0;UNIT-DAD8BC5B0F;UNIT-EA7E4F88FE;UNIT-EC9B21793D;UNIT-F5D8BD410B;UNIT-FE5C27C113,VM-UNIT;VM-INTEGRATION-EXTERNAL,agreed,bidirectional-validated
SWR-DATA-002,External data as background context,ARC-DATA;ARC-ADVICE,UNIT-023A37A1E9;UNIT-05079ECC27;UNIT-0DF4638D5E;UNIT-0F842B8ECE;UNIT-1FA1BDF5BA;UNIT-24843AC961;UNIT-2B33A302FC;UNIT-4D4D8A02C7;UNIT-52888D723D;UNIT-56F8FF3B61;UNIT-58D6F95301;UNIT-5C3B60E30A;UNIT-5C9ECC73E4;UNIT-603339624C;UNIT-62A1AFF305;UNIT-7020937074;UNIT-767BF49F25;UNIT-7BFC490988;UNIT-927BB1749D;UNIT-928784DA94;UNIT-ACC548ABA0;UNIT-B05F7AFFA4;UNIT-BA683051BA;UNIT-BA8DF8A829;UNIT-C1711535CA;UNIT-C335B8F5CF;UNIT-C3952C43CB;UNIT-C590FCE576;UNIT-D3B9BEAAC0;UNIT-D41345D767;UNIT-DAD8BC5B0F;UNIT-EA7E4F88FE;UNIT-EC9B21793D;UNIT-F5D8BD410B;UNIT-F6D48540E6;UNIT-FE5C27C113,VM-UNIT;VM-INTEGRATION-EXTERNAL,agreed,bidirectional-validated
SWR-DATA-003,Data freshness and as-of control,ARC-DATA;ARC-ANALYSIS;ARC-ADVICE,UNIT-023A37A1E9;UNIT-05079ECC27;UNIT-070AA8511C;UNIT-0DF4638D5E;UNIT-0F842B8ECE;UNIT-1FA1BDF5BA;UNIT-24843AC961;UNIT-271BADECBE;UNIT-2B33A302FC;UNIT-2F7FEDBA6F;UNIT-3549E9D9B7;UNIT-3962AAAC44;UNIT-3B1598DC1B;UNIT-4D4D8A02C7;UNIT-52888D723D;UNIT-56F8FF3B61;UNIT-58D6F95301;UNIT-5C3B60E30A;UNIT-5C9ECC73E4;UNIT-603339624C;UNIT-62A1AFF305;UNIT-7020937074;UNIT-767BF49F25;UNIT-7BFC490988;UNIT-7DFC57FAF9;UNIT-7FAAA8EDCA;UNIT-927BB1749D;UNIT-928784DA94;UNIT-ACC548ABA0;UNIT-B05F7AFFA4;UNIT-BA683051BA;UNIT-BA8DF8A829;UNIT-C1711535CA;UNIT-C335B8F5CF;UNIT-C3952C43CB;UNIT-C590FCE576;UNIT-CE01C0290C;UNIT-CF43FE46E5;UNIT-D3B9BEAAC0;UNIT-D41345D767;UNIT-DAD8BC5B0F;UNIT-DAF97D09E5;UNIT-EA7E4F88FE;UNIT-EBF42549F9;UNIT-EC9B21793D;UNIT-F5D8BD410B;UNIT-F6D48540E6;UNIT-FE5C27C113,VM-UNIT;VM-REGRESSION,agreed,bidirectional-validated
SWR-ANA-001,Reproducible market-structure facts,ARC-INDICATORS;ARC-ANALYSIS,UNIT-070AA8511C;UNIT-271BADECBE;UNIT-2F7FEDBA6F;UNIT-2F8C299C5B;UNIT-3549E9D9B7;UNIT-3962AAAC44;UNIT-3B1598DC1B;UNIT-7D2CF26834;UNIT-7DFC57FAF9;UNIT-7FAAA8EDCA;UNIT-CE01C0290C;UNIT-CF43FE46E5;UNIT-D35A8017FE;UNIT-DAF97D09E5;UNIT-EBF42549F9,VM-UNIT;VM-REGRESSION,agreed,bidirectional-validated
SWR-ADV-001,Exactly one primary suggestion or no setup,ARC-ADVICE,UNIT-56F8FF3B61;UNIT-928784DA94;UNIT-ACC548ABA0;UNIT-BA683051BA;UNIT-D41345D767;UNIT-F6D48540E6,VM-UNIT;VM-REGRESSION;VM-INTEGRATION-PIPELINE,agreed,bidirectional-validated
SWR-ADV-002,Human-confirmable setup,ARC-ADVICE;ARC-VIZ,UNIT-202DB41FE0;UNIT-2E19DCA37C;UNIT-3EC85337CA;UNIT-4756F86A84;UNIT-4C9DB5733A;UNIT-56F8FF3B61;UNIT-6FA4E87F8A;UNIT-87EC9BC982;UNIT-8B3827F5EC;UNIT-928784DA94;UNIT-A63D87A7BB;UNIT-ACC548ABA0;UNIT-BA683051BA;UNIT-D41345D767;UNIT-D8AB5E90B4;UNIT-E27519993B;UNIT-EE18DE86B2;UNIT-F6D48540E6,VM-UNIT;VM-REGRESSION;VM-INTEGRATION-PIPELINE,agreed,bidirectional-validated
SWR-ADV-003,Deterministic advice audit,ARC-ADVICE,UNIT-56F8FF3B61;UNIT-928784DA94;UNIT-ACC548ABA0;UNIT-BA683051BA;UNIT-D41345D767;UNIT-F6D48540E6,VM-UNIT;VM-REGRESSION;VM-INTEGRATION-PIPELINE,agreed,bidirectional-validated
SWR-ADV-004,Evidence and uncertainty disclosure,ARC-ADVICE;ARC-VIZ,UNIT-202DB41FE0;UNIT-2E19DCA37C;UNIT-3EC85337CA;UNIT-4756F86A84;UNIT-4C9DB5733A;UNIT-56F8FF3B61;UNIT-6FA4E87F8A;UNIT-87EC9BC982;UNIT-8B3827F5EC;UNIT-928784DA94;UNIT-A63D87A7BB;UNIT-ACC548ABA0;UNIT-BA683051BA;UNIT-D41345D767;UNIT-D8AB5E90B4;UNIT-E27519993B;UNIT-EE18DE86B2;UNIT-F6D48540E6,VM-UNIT;VM-REGRESSION,agreed,bidirectional-validated
SWR-LLM-001,Single constrained wording pass,ARC-LLM;ARC-ADVICE,UNIT-31083EB5D0;UNIT-56F8FF3B61;UNIT-598812089B;UNIT-6568B95AFA;UNIT-928784DA94;UNIT-ACC548ABA0;UNIT-BA683051BA;UNIT-D41345D767;UNIT-D7FD07AF44;UNIT-DEB0D517C6;UNIT-E488978A91;UNIT-F6D48540E6;UNIT-FBF77B94FB,VM-UNIT;VM-INTEGRATION-PIPELINE,agreed,bidirectional-validated
SWR-LLM-002,LLM immutability and fallback,ARC-LLM;ARC-ADVICE,UNIT-31083EB5D0;UNIT-56F8FF3B61;UNIT-598812089B;UNIT-6568B95AFA;UNIT-928784DA94;UNIT-ACC548ABA0;UNIT-BA683051BA;UNIT-D41345D767;UNIT-D7FD07AF44;UNIT-DEB0D517C6;UNIT-E488978A91;UNIT-F6D48540E6;UNIT-FBF77B94FB,VM-UNIT;VM-REGRESSION,agreed,bidirectional-validated
